Title,Rating,Votes,Duration,Genres
1. Gladiator II,6.5,256000,148.0,action
2. William Tell,5.7,3400,134.0,action
3. Dune: Part Two,8.5,646000,166.0,action
4. Twisters,6.5,177000,122.0,action
5. Kraven the Hunter,5.5,64000,127.0,action
6. Deadpool & Wolverine,7.5,510000,128.0,action
7. 40 Acres,7.1,623,113.0,action
8. The Ministry of Ungentlemanly Warfare,6.8,140000,122.0,action
9. Furiosa: A Mad Max Saga,7.5,293000,148.0,action
10. The Beekeeper,6.3,163000,105.0,action
11. Sonic the Hedgehog 3,6.9,66000,110.0,action
12. Carry-On,6.5,173000,119.0,action
13. Civil War,7.0,245000,109.0,action
14. The Fall Guy,6.8,228000,126.0,action
15. Fight or Flight,6.4,15000,102.0,action
16. Venom: The Last Dance,6.0,132000,110.0,action
17. The Count of Monte-Cristo,7.6,38000,178.0,action
18. Road House,6.2,171000,121.0,action
19. Argylle,5.6,94000,139.0,action
20. Godzilla x Kong: The New Empire,6.0,125000,115.0,action
21. Land of Bad,6.6,53000,113.0,action
22. Relay,7.4,140,112.0,action
23. Transformers One,7.6,55000,104.0,action
24. Rebel Ridge,6.8,92000,131.0,action
25. Borderlands,4.7,51000,101.0,action
26. Freaky Tales,6.2,7600,107.0,action
27. The Instigators,6.2,39000,101.0,action
28. Stand Your Ground,4.6,381,99.0,action
29. Kingdom of the Planet of the Apes,6.8,155000,145.0,action
30. Bad Boys: Ride or Die,6.5,103000,115.0,action
31. Madame Web,4.1,104000,116.0,action
32. Homestead,5.2,4300,112.0,action
33. Damsel,6.1,112000,110.0,action
34. The Unholy Trinity,6.0,574,95.0,action
35. Dirty Angels,4.4,4200,104.0,action
36. The Killer,5.7,14000,126.0,action
37. The Union,5.4,54000,107.0,action
38. Maharaja,8.4,71000,141.0,action
39. The Crow,4.7,37000,111.0,action
40. Red One,6.3,143000,123.0,action
41. Monkey Man,6.8,94000,121.0,action
42. Role Play,5.5,19000,100.0,action
43. Kung Fu Panda 4,6.3,71000,94.0,action
44. Drive-Away Dolls,5.4,24000,84.0,action
45. Canary Black,5.4,12000,101.0,action
46. The Lord of the Rings: The War of the Rohirrim,6.3,33000,134.0,action
47. Absolution,5.2,9100,112.0,action
48. The Killer's Game,5.8,18000,104.0,action
49. Elevation,5.6,24000,91.0,action
50. Jackpot!,5.8,31000,106.0,action
51. Beverly Hills Cop: Axel F,6.4,83000,118.0,action
52. Kalki 2898 AD,7.0,69000,180.0,action
53. Old Guy,5.2,3300,94.0,action
54. Arcadian,5.5,25000,92.0,action
55. Attack on Titan the Movie: The Last Attack,9.1,18000,145.0,action
56. Thelma,7.0,24000,98.0,action
57. Lift,5.5,50000,107.0,action
58. Uglies,4.7,34000,100.0,action
59. Pushpa: The Rule - Part 2,6.1,59000,201.0,action
60. Solo Leveling: ReAwakening,8.8,14000,121.0,action
61. Blitz,6.2,17000,120.0,action
62. The Silent Hour,6.1,8500,99.0,action
63. Under Paris,5.2,37000,104.0,action
64. Atlas,5.6,57000,118.0,action
65. Apocalypse Z: The Beginning of the End,6.1,21000,117.0,action
66. Azrael,5.4,12000,86.0,action
67. Night Call,6.7,2500,97.0,action
68. Survive,4.6,3200,90.0,action
69. Dan Da Dan: First Encounter,8.2,3000,83.0,action
70. Brothers,5.4,14000,89.0,action
71. Rebel Moon - Part Two: The Scargiver,5.3,60000,122.0,action
72. Hellboy: The Crooked Man,4.5,15000,99.0,action
73. Trigger Warning,4.6,20000,106.0,action
74. My Spy: The Eternal City,5.7,11000,112.0,action
75. Cloud,6.3,1600,124.0,action
76. Escape from the 21st Century,6.4,1000,98.0,action
77. Aavesham,7.8,29000,155.0,action
78. 11 Rebels,6.3,745,155.0,action
79. Marco,6.7,23000,145.0,action
80. Aftermath,5.1,4400,97.0,action
