Title,Rating,Votes,Duration,Genres
1. Gladiator II,6.5,256000,148,adventure
2. Dune: Part Two,8.5,646000,166,adventure
3. Twisters,6.5,177000,122,adventure
4. Kraven the Hunter,5.5,64000,127,adventure
5. The Wild Robot,8.2,185000,102,adventure
6. Deadpool & Wolverine,7.5,510000,128,adventure
7. Furiosa: A Mad Max Saga,7.5,293000,148,adventure
8. Sonic the Hedgehog 3,6.9,66000,110,adventure
9. Flow,7.9,86000,85,adventure
10. Monster Summer,5.7,4500,97,adventure
11. Venom: The Last Dance,6.0,132000,110,adventure
12. The Count of Monte-Cristo,7.6,38000,178,adventure
13. Mufasa: The Lion King,6.6,72000,118,adventure
14. Moana 2,6.5,110000,100,adventure
15. Godzilla x Kong: The New Empire,6.0,125000,115,adventure
16. Transformers One,7.6,55000,104,adventure
17. Inside Out 2,7.5,224000,96,adventure
18. The Return,6.2,11000,116,adventure
19. Borderlands,4.7,51000,101,adventure
20. Freaky Tales,6.2,7600,107,adventure
21. Paddington in Peru,6.7,26000,106,adventure
22. Despicable Me 4,6.2,69000,94,adventure
23. Ghostbusters: Frozen Empire,6.1,96000,115,adventure
24. Kingdom of the Planet of the Apes,6.8,155000,145,adventure
25. Bad Boys: Ride or Die,6.5,103000,115,adventure
26. The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6200,91,adventure
27. Damsel,6.1,112000,110,adventure
28. The Unholy Trinity,6.0,574,95,adventure
29. Sketch,8.2,80,92,adventure
30. Red One,6.3,143000,123,adventure
31. Kung Fu Panda 4,6.3,71000,94,adventure
32. The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,adventure
33. Kalki 2898 AD,7.0,69000,180,adventure
34. Spaceman,5.7,44000,107,adventure
35. Attack on Titan the Movie: The Last Attack,9.1,18000,145,adventure
36. Uglies,4.7,34000,100,adventure
37. The Garfield Movie,5.7,25000,101,adventure
38. Arthur the King,7.0,35000,107,adventure
39. Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,adventure
40. Solo Leveling: ReAwakening,8.8,14000,121,adventure
41. Atlas,5.6,57000,118,adventure
42. Survive,4.6,3200,90,adventure
43. Rebel Moon - Part Two: The Scargiver,5.3,60000,122,adventure
44. Spellbound,5.5,8000,109,adventure
45. The Goat Life,7.1,48000,173,adventure
46. Escape from the 21st Century,6.4,1000,98,adventure
47. Manjummel Boys,8.2,28000,135,adventure
48. Family Pack,5.5,9700,94,adventure
49. No Way Up,4.6,11000,90,adventure
50. Orion and the Dark,6.3,18000,93,adventure
51. Winner,6.5,2700,103,adventure
52. Descendants: The Rise of Red,4.7,7300,91,adventure
53. Harold and the Purple Crayon,5.7,8900,90,adventure
54. Sunlight,7.6,35,96,adventure
55. Ultraman: Rising,6.9,6700,117,adventure
56. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104,adventure
57. Lost on a Mountain in Maine,6.1,1600,98,adventure
58. My Penguin Friend,6.8,5800,97,adventure
59. Justice League: Crisis on Infinite Earths - Part One,6.2,8900,93,adventure
60. Something in the Water,4.1,5100,86,adventure
61. Devara Part 1,6.0,21000,176,adventure
62. That Christmas,6.8,17000,91,adventure
63. Night of the Zoopocalypse,6.0,956,91,adventure
64. Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,adventure
65. Crayon Shin-chan: Our Dinosaur Diary,6.6,618,106,adventure
66. Badland Hunters,5.9,13000,107,adventure
67. Hitpig,5.1,1100,86,adventure
68. Megamind vs. The Doom Syndicate,2.5,5700,83,adventure
69. River of Blood,5.0,2000,86,adventure
70. Justice League: Crisis on Infinite Earths - Part Three,6.1,4800,94,adventure
71. Meanwhile on Earth,6.0,975,89,adventure
72. Hanu Man,7.7,29000,158,adventure
"73. I, the Executioner",6.3,2000,118,adventure
74. No Chains No Masters,6.3,669,98,adventure
75. The Best Christmas Pageant Ever,6.8,6300,99,adventure
76. Saint-Exupéry,5.4,560,98,adventure
77. Dragonkeeper,5.7,1800,98,adventure
78. Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,94,adventure
79. Anaconda,4.9,675,84,adventure
80. Sasquatch Sunset,5.4,5600,88,adventure
81. Operation Blood Hunt,3.4,526,93,adventure
82. The Twisters,2.5,434,86,adventure
83. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4000,82,adventure
84. The Great Lillian Hall,7.3,2100,110,adventure
85. The Wages of Fear,4.6,4200,104,adventure
86. Kalvan,5.6,998,142,adventure
87. Robin and the Hoods,4.3,543,100,adventure
88. Golden Kamuy,6.3,2700,127,adventure
89. Thelma the Unicorn,5.7,3100,93,adventure
90. Sixty Minutes,5.7,5300,88,adventure
91. Buffalo Kids,6.6,780,93,adventure
92. Man and Witch: The Dance of a Thousand Steps,5.5,357,94,adventure
93. The Tiger's Apprentice,5.8,2300,84,adventure
94. My Hero Academia: You're Next,7.0,2700,110,adventure
95. Bookworm,6.0,2100,103,adventure
96. Big City Greens the Movie: Spacecation,6.2,590,83,adventure
97. Thangalaan,6.5,6800,156,adventure
98. Empire Queen: The Golden Age of Magic,3.3,248,148,adventure
99. Seven Seas Seven Hills,8.6,98,90,adventure
100. The Kingdom,7.0,152,133,adventure
101. My Oni Girl,6.0,1900,112,adventure
102. A.R.M,7.1,9000,150,adventure
103. A Legend,4.7,1000,129,adventure
104. Devil's Knight,5.3,967,90,adventure
105. Autumn and the Black Jaguar,5.6,1100,100,adventure
106. The Mountain,6.5,182,89,adventure
107. Seeds,5.0,232,82,adventure
108. No Time to Spy: A Loud House Movie,6.3,504,81,adventure
109. This Too Shall Pass,8.4,21,105,adventure
110. Gaami,6.3,2100,147,adventure
111. The Courier,6.0,4600,101,adventure
112. The Last Redemption,6.6,5200,122,adventure
113. Overlord: The Sacred Kingdom,6.9,1500,135,adventure
114. Dongeng Sang Kancil,6.6,227,99,adventure
115. The Keepers of the 5 Kingdoms,4.0,232,109,adventure
116. The Casagrandes Movie,5.6,697,89,adventure
117. Cells at Work!,6.7,938,109,adventure
118. Bull Shark 3,3.5,95,76,adventure
119. Bade Miyan Chote Miyan,3.8,39000,163,adventure
120. Kanguva,4.5,15000,152,adventure
121. Ayalaan,5.9,4000,155,adventure
122. Cult Killer,4.8,2900,105,adventure
123. Escape,6.4,2200,94,adventure
124. Woody Woodpecker Goes to Camp,4.5,2700,100,adventure
125. Its Name Was Mormo,3.7,164,93,adventure
126. Spirit Riser,6.6,39,98,adventure
127. Operation: Raqqa,5.6,308,107,adventure
128. The Price of Money: A Largo Winch Adventure,5.1,1300,100,adventure
129. Unspeakable: Beyond the Wall of Sleep,4.2,128,90,adventure
130. Angels Fallen: Warriors of Peace,4.9,6400,103,adventure
131. Bambi: A Tale of Life in the Woods,5.6,266,78,adventure
132. The Empire,5.2,1400,110,adventure
133. Captain Miller,6.9,12000,157,adventure
134. The Dragon's Tomb,6.7,55,77,adventure
135. Noah's Ark,4.3,707,96,adventure
136. Bureau 749,3.9,584,123,adventure
137. Rebellious,6.1,243,94,adventure
138. Roadkill,3.7,696,90,adventure
139. The Firing Squad,5.1,5100,93,adventure
140. 200% Wolf,5.9,1300,98,adventure
141. Gladiators,4.4,117,95,adventure
142. I Hate Summer,5.1,633,103,adventure
143. Letuchiy korabl,3.4,372,100,adventure
144. Return to Wickensburg,4.7,82,88,adventure
146. Kvitebjørn,5.9,79,85,adventure
147. Witch Hunter,4.4,28,80,adventure
148. A Sloth Story,5.6,241,90,adventure
149. My Freaky Family,6.1,424,86,adventure
150. The Waves of Madness,5.8,112,68,adventure
151. War of the Worlds: Extinction,3.0,218,84,adventure
152. Eat the Night,6.0,575,106,adventure
153. Five Friends,6.7,983,112,adventure
154. Son's Will,7.4,1100,148,adventure
155. Bionic,4.3,1800,110,adventure
156. Panda Bear in Africa,5.5,383,84,adventure
157. Barroz: Guardian of Treasures,3.4,1100,155,adventure
158. At Her Feet,7.8,64,100,adventure
159. Dalia and the Red Book,5.9,155,107,adventure
160. Kaizen,7.1,750,160,adventure
161. Pimpinero: Blood and Oil,5.6,579,121,adventure
162. Jurassic Triangle,2.4,291,84,adventure
163. Rally Caps,5.6,145,100,adventure
164. The Lost Tiger,7.4,58,90,adventure
165. Mobile Suit Gundam SEED Freedom,6.6,988,124,adventure
166. Lumina,2.1,711,113,adventure
168. Guest from the Future,6.0,1300,141,adventure
169. School of Magical Animals 3,5.7,357,105,adventure
170. Sam and Colby: The Legends of the Paranormal,4.9,317,98,adventure
171. Chhota Bheem and the Curse of Damyaan,4.8,2300,145,adventure
172. Gracie and Pedro: Pets to the Rescue,5.0,291,87,adventure
173. Diplodocus,6.4,200,93,adventure
174. Earthquake Underground,3.3,206,83,adventure
175. Buddy,3.8,359,137,adventure
176. Bremenskie muzykanty,4.4,742,115,adventure
177. Road Wars: Max Fury,2.0,369,83,adventure
178. Chuck Billy and the Marvelous Guava Tree,7.4,1200,90,adventure
179. The Last Ronin,4.9,597,115,adventure
180. Naa Saami Ranga,4.5,1200,150,adventure
181. Diving Into the Darkness,8.8,95,96,adventure
182. The Eye of the Salamander,6.2,43,81,adventure
183. Ghost Island,7.2,56,95,adventure
184. The Big Trip 3: Race Around the World,5.7,69,85,adventure
185. Stranded Pearl,5.5,30,90,adventure
186. Storm Crashers,6.2,586,88,adventure
187. Fox & Hare Save the Forest,5.9,223,71,adventure
