Title,Rating,Votes,Duration,Genres
1. The Wild Robot,8.2,185000,102.0,animation
2. Flow,7.9,86000,85.0,animation
3. Mufasa: The Lion King,6.6,72000,118.0,animation
4. Moana 2,6.5,110000,100.0,animation
5. Transformers One,7.6,55000,104.0,animation
6. Inside Out 2,7.5,224000,96.0,animation
7. IF,6.4,60000,104.0,animation
8. Paddington in Peru,6.7,26000,106.0,animation
9. Despicable Me 4,6.2,69000,94.0,animation
10. The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6200,91.0,animation
11. Kung Fu Panda 4,6.3,71000,94.0,animation
12. The Lord of the Rings: The War of the Rohirrim,6.3,33000,134.0,animation
13. Memoir of a Snail,7.8,19000,95.0,animation
14. Attack on Titan the Movie: The Last Attack,9.1,18000,145.0,animation
15. The Garfield Movie,5.7,25000,101.0,animation
16. Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82.0,animation
17. Solo Leveling: ReAwakening,8.8,14000,121.0,animation
18. Spermageddon,5.5,1200,80.0,animation
19. Dan Da Dan: First Encounter,8.2,3000,83.0,animation
20. Boys Go to Jupiter,6.8,119,90.0,animation
21. Spellbound,5.5,8000,109.0,animation
22. Look Back,7.8,16000,58.0,animation
23. Orion and the Dark,6.3,18000,93.0,animation
24. Watchmen: Chapter I,7.1,7100,83.0,animation
25. Piece by Piece,6.9,6300,93.0,animation
26. The Remarkable Life of Ibelin,8.2,13000,103.0,animation
27. Harold and the Purple Crayon,5.7,8900,90.0,animation
28. Ultraman: Rising,6.9,6700,117.0,animation
29. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104.0,animation
30. Justice League: Crisis on Infinite Earths - Part One,6.2,8900,93.0,animation
31. That Christmas,6.8,17000,91.0,animation
32. Night of the Zoopocalypse,6.0,956,91.0,animation
33. The Most Precious of Cargoes,7.1,1500,81.0,animation
34. I Am What I Am 2,7.5,395,134.0,animation
35. Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115.0,animation
36. Crayon Shin-chan: Our Dinosaur Diary,6.6,618,106.0,animation
37. Hitpig,5.1,1100,86.0,animation
38. Haikyu!! The Dumpster Battle,7.7,6600,85.0,animation
39. Megamind vs. The Doom Syndicate,2.5,5700,83.0,animation
40. Justice League: Crisis on Infinite Earths - Part Three,6.1,4800,94.0,animation
41. Watchmen: Chapter II,7.1,3500,90.0,animation
42. White Snake: Afloat,6.9,585,133.0,animation
43. Dragonkeeper,5.7,1800,98.0,animation
44. Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,94.0,animation
45. The Colors Within,7.1,1200,101.0,animation
46. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4000,82.0,animation
47. Lesbian Space Princess,7.1,193,87.0,animation
48. Thelma the Unicorn,5.7,3100,93.0,animation
49. Mars,8.1,26,84.0,animation
50. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7,1300,90.0,animation
51. Buffalo Kids,6.6,780,93.0,animation
52. 10 Lives,5.9,2100,88.0,animation
53. The Tiger's Apprentice,5.8,2300,84.0,animation
54. My Hero Academia: You're Next,7.0,2700,110.0,animation
55. From Ground Zero,7.9,575,112.0,animation
56. Big City Greens the Movie: Spacecation,6.2,590,83.0,animation
57. Grand Theft Hamlet,6.9,2200,89.0,animation
58. Frida,7.5,1500,87.0,animation
59. My Oni Girl,6.0,1900,112.0,animation
60. Johnny Puff: Secret Mission,4.9,468,87.0,animation
61. Super-Charlie,5.8,177,82.0,animation
62. Detective Conan: The Million-Dollar Pentagram,6.7,1600,111.0,animation
63. The Glassworker,7.2,1900,98.0,animation
64. No Time to Spy: A Loud House Movie,6.3,504,81.0,animation
65. Uma Musume: Pretty Derby - Beginning of a New Era,7.4,161,108.0,animation
66. Overlord: The Sacred Kingdom,6.9,1500,135.0,animation
67. Dongeng Sang Kancil,6.6,227,99.0,animation
68. Ghost Cat Anzu,6.5,865,97.0,animation
69. The Quintessential Quintuplets Specials 2,6.9,166,46.0,animation
70. Given the Movie: Hiiragi Mix,7.6,238,70.0,animation
71. The Casagrandes Movie,5.6,697,89.0,animation
72. Boonie Bears: Time Twist,6.0,177,105.0,animation
73. Kizumonogatari: Koyomi Vamp,7.0,111,144.0,animation
74. Rock Bottom,6.2,58,86.0,animation
75. Blue Lock: Episode Nagi,6.6,2700,91.0,animation
76. Woody Woodpecker Goes to Camp,4.5,2700,100.0,animation
77. Mononoke the Movie: The Phantom in the Rain,6.7,1400,89.0,animation
78. The Night Before Christmas in Wonderland,6.3,527,80.0,animation
79. Given 3: To the Sea,7.5,149,80.0,animation
80. Noah's Ark,4.3,707,96.0,animation
81. Ryan's World the Movie: Titan Universe Adventure,1.8,736,80.0,animation
82. Rebellious,6.1,243,94.0,animation
83. Baki Hanma VS Kengan Ashura,5.7,2000,62.0,animation
84. Savages,6.8,400,87.0,animation
85. 200% Wolf,5.9,1300,98.0,animation
86. Kvitebjørn,5.9,79,85.0,animation
87. A Sloth Story,5.6,241,90.0,animation
88. My Freaky Family,6.1,424,86.0,animation
89. Angelo dans la forêt mystérieuse,6.0,141,81.0,animation
90. Panda Bear in Africa,5.5,383,84.0,animation
91. Dalia and the Red Book,5.9,155,107.0,animation
92. The Lost Tiger,7.4,58,90.0,animation
93. Mobile Suit Gundam SEED Freedom,6.6,988,124.0,animation
94. Into the Mortal World,7.0,246,118.0,animation
95. Gracie and Pedro: Pets to the Rescue,5.0,291,87.0,animation
96. Diplodocus,6.4,200,93.0,animation
97. Exorcism Chronicles: The Beginning,6.4,135,85.0,animation
98. Peppa's Cinema Party,4.9,157,65.0,animation
99. Among Neighbors,9.7,51,100.0,animation
100. The Big Trip 3: Race Around the World,5.7,69,85.0,animation
101. Storm Crashers,6.2,586,88.0,animation
102. Fox & Hare Save the Forest,5.9,223,71.0,animation
103. Fureru,6.1,61,107.0,animation
104. Inanimate Insanity II: The Movie,8.2,250,106.0,animation
105. My Redneck Neighbor: Chapter 2 - Let the Games Begin,5.7,11,55.0,animation
106. Little Emma,5.4,135,106.0,animation
107. Niko: Beyond the Northern Lights,6.1,356,86.0,animation
"108. Die Heinzels: Neue Mützen, Neue Mission",6.0,107,76.0,animation
109. Out of the Nest,6.4,129,84.0,animation
110. Appu,8.1,190,92.0,animation
111. The Proud Princess,6.4,142,84.0,animation
112. Living Large,6.9,180,80.0,animation
113. Hola Frida,7.1,50,82.0,animation
114. Maxxie LaWow: Drag Super-shero,7.8,331,114.0,animation
"115. Ado SPECIAL LIVE ""Shinzou"" in Cinema",9.3,48,140.0,animation
117. Rafadan Tayfa: Kapadokya,6.6,134,84.0,animation
118. Elli and the Ghostly Ghost Train,5.0,110,86.0,animation
119. Shrek 5: The Contract - A Fan Made Film,7.4,22,84.0,animation
120. Transformers Prime: Galavatron's Revenge,4.4,17,104.0,animation
121. Dead Dead Demon's Dededede Destruction,7.0,153,120.0,animation
122. Norbert,6.8,17,75.0,animation
"123. Maya, donne-moi un titre",6.4,65,61.0,animation
124. Bocchi the Rock! Recap Part 1,7.5,200,90.0,animation
126. Mariposas Negras,7.1,75,83.0,animation
127. Sabbath Queen,7.9,71,105.0,animation
128. SuperKlaus,4.3,208,88.0,animation
131. Sanatorium Under the Sign of the Hourglass,5.4,134,75.0,animation
133. Tobias and the Arcane Merchant,8.9,49,167.0,animation
134. Terra Incognita 1901,5.4,66,78.0,animation
135. Where the Robots Grow,2.7,534,88.0,animation
137. Dragon Ball Z Kai,8.6,93,82.0,animation
139. (S)KiDS,8.5,146,85.0,animation
140. Quo Vadis,6.4,517,90.0,animation
141. Trapezium,6.2,168,95.0,animation
142. Heartsping : Teenieping of Love,7.3,32,,animation
143. A Few Moments of Cheers,7.2,56,68.0,animation
144. Schirkoa: In Lies We Trust,5.5,170,103.0,animation
145. Tay 2: Ebabil Takimi,4.9,46,78.0,animation
146. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,7.1,41,90.0,animation
147. Askepote,3.5,87,72.0,animation
148. Olivia & the Clouds,7.3,60,81.0,animation
149. Bloody Escape: Bats out of Hell,5.4,60,100.0,animation
150. Yumi's Cells: The Movie,6.2,53,93.0,animation
152. Dikkie Dik en de Verdwenen Knuffel,7.2,133,62.0,animation
153. Code Geass: Rozé of the Recapture - Part 1,7.6,46,74.0,animation
154. Max Beyond,6.6,18,93.0,animation
156. Captain Avispa,5.7,181,96.0,animation
157. Fuuto PI: Portrait of Kamen Rider Skull,7.3,52,82.0,animation
158. Day of the Diesels,6.1,12,100.0,animation
159. The Umbrella Fairy,5.7,62,95.0,animation
161. Woolina and the No Birds,8.2,52,80.0,animation
162. Bocchi the Rock! Recap Part 2,7.4,136,77.0,animation
163. STEVE (A Minecraft Movie),6.9,13,61.0,animation
165. Hello My Beautiful Creatures,6.8,173,142.0,animation
166. Zak & Wowo: The Legend of Lendarys,5.7,103,85.0,animation
167. Slocum et moi,7.2,81,75.0,animation
168. Luntik. Vozvrashchenie domoy,6.4,82,,animation
169. Tri bogatyrya. Ni dnya bez podviga,5.7,83,61.0,animation
170. Jon Vardar protiv Galaksijata,8.2,77,86.0,animation
172. Uma & Haggen: Mitos,7.4,57,94.0,animation
"173. Silex and the City, le film",4.9,56,77.0,animation
174. Si Juki the Movie: Harta Pulau Monyet,6.1,134,107.0,animation
175. Double Tuckerr,5.0,1300,120.0,animation
176. The Greatest Surf Movie in the Universe,4.7,9,81.0,animation
177. TWST: Things We Said Today,7.0,68,86.0,animation
178. Kuramerukagari,5.8,89,61.0,animation
179. Benjamin Bat,7.9,34,75.0,animation
180. The Storm,6.1,146,102.0,animation
181. Pleasant Goat and Big Big Wolf: The World Guardians,6.6,16,96.0,animation
182. Rocky and Bullwinkle,8.6,17,100.0,animation
183. Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4,76,70.0,animation
184. Ugly Sweater,7.1,13,80.0,animation
185. Transformers: 40th Anniversary Event,7.4,30,96.0,animation
188. Arne Alligator och djungelkompisarna,4.7,51,61.0,animation
189. God with Three Eyes,5.7,29,112.0,animation
190. Nie Xiaoqian,6.2,18,112.0,animation
191. Pui Pui Molcar the Movie: Molmax,6.4,10,69.0,animation
192. Sunburnt Unicorn,7.7,13,81.0,animation
193. Meitantei Conan Bâsasu Kaitô Kiddo,6.1,173,81.0,animation
194. Balentes,7.4,8,70.0,animation
198. Dead Dead Demon's Dededede Destruction Zenpen,7.0,145,120.0,animation
200. Mobile Suit Gundam: Silver Phantom,6.1,13,90.0,animation
202. DreadClub: Vampire's Verdict,4.8,63,88.0,animation
204. The Formula for Water,4.6,38,86.0,animation
206. Lilla spöket Laban spökar igen,6.2,30,44.0,animation
209. Mustafa,6.9,77,75.0,animation
211. Ninja Doomscrolling,8.1,102,96.0,animation
212. Jin Ling Yu Mao,7.9,7,97.0,animation
213. Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.5,11,50.0,animation
214. PAPmusic - Animation for Fashion,1.0,173,85.0,animation
215. Ya Boy Kongming! Road to Summer Sonia,7.4,43,119.0,animation
216. Astra,6.8,8,80.0,animation
217. The Delegator,4.1,17,96.0,animation
218. Motu Patlu & The Rise of Zombies,6.9,17,74.0,animation
220. Nature Cat's Nature Movie Special Extraordinaire,7.1,21,53.0,animation
221. Rocket Club: Across the Cosmos,7.5,21,68.0,animation
222. The Ballad of Straw Hat Sam,8.5,13,45.0,animation
223. Il segreto di Liberato,7.3,230,90.0,animation
224. Steal the Naughty List,4.8,128,90.0,animation
226. The Worlds Divide,7.9,40,120.0,animation
229. Riki Rhino: The Bird Kingdom,5.1,25,109.0,animation
230. Bartali's Bicycle,7.5,10,80.0,animation
231. Animal Tales of Christmas Magic,6.8,52,72.0,animation
232. Code Geass: Rozé of the Recapture: Part 2,7.9,31,76.0,animation
234. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6,38,71.0,animation
236. Motu Patlu & The Race to the Diamond Valley,7.9,29,72.0,animation
238. Nothing Unusual,8.8,13,92.0,animation
239. Ganbatte Ikimasshoi,5.2,14,95.0,animation
"240. Robotia, the Movie",7.3,33,86.0,animation
