Title,Rating,Votes,Duration,Genres
1. The Life of Chuck,7.7,7900,111,sci-fi
2. The Substance,7.2,321000,141,sci-fi
3. Dune: Part Two,8.5,646000,166,sci-fi
4. The Wild Robot,8.2,185000,102,sci-fi
5. Deadpool & Wolverine,7.5,510000,128,sci-fi
6. 40 Acres,7.1,623,113,sci-fi
7. Furiosa: A Mad Max Saga,7.5,293000,148,sci-fi
8. Sonic the Hedgehog 3,6.9,66000,110,sci-fi
9. Alien: Romulus,7.1,255000,119,sci-fi
10. Venom: The Last Dance,6.0,132000,110,sci-fi
11. The Assessment,6.6,12000,114,sci-fi
12. The Shrouds,5.7,4100,120,sci-fi
13. Godzilla x Kong: The New Empire,6.0,125000,115,sci-fi
14. Distant,5.7,3900,87,sci-fi
15. Transformers One,7.6,55000,104,sci-fi
16. Borderlands,4.7,51000,101,sci-fi
17. Caddo Lake,6.8,46000,103,sci-fi
18. A Quiet Place: Day One,6.3,156000,99,sci-fi
19. Megalopolis,4.7,37000,138,sci-fi
20. Despicable Me 4,6.2,69000,94,sci-fi
21. Ghostbusters: Frozen Empire,6.1,96000,115,sci-fi
22. Kingdom of the Planet of the Apes,6.8,155000,145,sci-fi
23. Subservience,5.4,30000,106,sci-fi
24. The Day the Earth Blew Up: A Looney Tunes Movie,6.9,6200,91,sci-fi
25. It's What's Inside,6.6,44000,103,sci-fi
26. Elevation,5.6,24000,91,sci-fi
27. Kalki 2898 AD,7.0,69000,180,sci-fi
28. Spaceman,5.7,44000,107,sci-fi
29. Time Cut,5.0,20000,91,sci-fi
30. Arcadian,5.5,25000,92,sci-fi
31. Daniela Forever,5.9,345,113,sci-fi
32. Uglies,4.7,34000,100,sci-fi
33. Y2K,4.8,16000,91,sci-fi
34. Wallace & Gromit: Vengeance Most Fowl,7.5,36000,82,sci-fi
35. Love Me,5.1,3000,91,sci-fi
36. Atlas,5.6,57000,118,sci-fi
37. Apocalypse Z: The Beginning of the End,6.1,21000,117,sci-fi
38. Survive,4.6,3200,90,sci-fi
39. Sting,5.7,17000,91,sci-fi
40. Rebel Moon - Part Two: The Scargiver,5.3,60000,122,sci-fi
41. The End,5.4,2400,148,sci-fi
42. The Platform 2,4.9,41000,99,sci-fi
43. Slingshot,5.7,10000,108,sci-fi
44. The Greatest Hits,6.2,7700,94,sci-fi
45. Afraid,5.2,15000,84,sci-fi
46. Escape from the 21st Century,6.4,1000,98,sci-fi
47. Die Alone,5.8,4000,90,sci-fi
48. Alien: Rubicon,2.4,486,86,sci-fi
49. Werewolves,4.4,7700,93,sci-fi
50. Rich Flu,5.1,6500,116,sci-fi
51. Turn Me On,5.6,753,99,sci-fi
52. Watchmen: Chapter I,7.1,7100,83,sci-fi
53. Tim Travers & the Time Travelers Paradox,6.8,342,95,sci-fi
54. In Vitro,6.2,174,89,sci-fi
55. Ick,5.5,223,87,sci-fi
56. Ultraman: Rising,6.9,6700,117,sci-fi
57. Code 8: Part II,5.7,16000,100,sci-fi
58. Justice League: Crisis on Infinite Earths - Part One,6.2,8900,93,sci-fi
59. Omni Loop,5.6,3300,112,sci-fi
60. Wonderland,6.2,2500,113,sci-fi
61. Night of the Zoopocalypse,6.0,956,91,sci-fi
62. The Fix,4.7,1600,98,sci-fi
63. Arena Wars,5.4,3200,96,sci-fi
64. Year 10,5.4,2000,96,sci-fi
65. Doraemon the Movie: Nobita's Earth Symphony,6.6,1600,115,sci-fi
66. Badland Hunters,5.9,13000,107,sci-fi
67. Parallel,5.3,2100,88,sci-fi
68. Megamind vs. The Doom Syndicate,2.5,5700,83,sci-fi
69. South of Hope Street,6.4,2100,101,sci-fi
70. Justice League: Crisis on Infinite Earths - Part Three,6.1,4800,94,sci-fi
71. Meanwhile on Earth,6.0,975,89,sci-fi
