Title,Rating,Votes,Duration,Genres
1. Challengers,7.0,160000,131,sport
2. Queen of the Ring,6.3,2200,129,sport
3. Arthur the King,7.0,35000,107,sport
4. Under Paris,5.2,37000,104,sport
5. Young Woman and the Sea,7.5,18000,129,sport
6. Unstoppable,6.8,4500,116,sport
7. Kill the Jockey,6.4,1900,96,sport
8. The Beautiful Game,6.3,8300,125,sport
9. Chandu Champion,7.8,35000,142,sport
10. Yolo,6.9,3900,129,sport
11. The Fire Inside,6.7,3100,109,sport
12. Haikyu!! The Dumpster Battle,7.7,6600,85,sport
13. Race for Glory: Audi vs. Lancia,5.8,5100,109,sport
14. Rez Ball,6.3,2600,111,sport
15. The Underdoggs,5.6,4600,96,sport
16. Fight Like a Girl,8.8,28,118,sport
17. Uranus 2324,6.4,4900,130,sport
18. Maidaan,7.9,23000,181,sport
19. Cup,8.6,86,146,sport
20. Sixty Minutes,5.7,5300,88,sport
21. Federer: Twelve Final Days,7.3,4200,88,sport
22. The Final: Attack on Wembley,6.3,2600,82,sport
23. You Gotta Believe,5.8,1400,104,sport
24. Little Wing,6.1,951,100,sport
25. Giannis: The Marvelous Journey,8.3,1800,109,sport
26. Las super estrellas de la lucha libre,8.8,59,98,sport
27. Mr. & Mrs. Mahi,5.9,16000,139,sport
28. The Swedish Torpedo,6.0,278,120,sport
29. Block Pass,7.0,483,104,sport
30. Sweet Dreams,5.4,1500,95,sport
31. Topuria Matador,7.1,184,95,sport
32. Gundi: Legend of Love,8.9,5700,166,sport
33. Mond,7.0,331,92,sport
34. My Annoying Brother,7.4,295,114,sport
35. Uma Musume: Pretty Derby - Beginning of a New Era,7.4,161,108,sport
36. El Hareefa,6.8,1200,117,sport
37. El Hareefa 2: El Remontada,6.3,546,130,sport
38. Color of Victory,6.1,40000,157,sport
39. Grace by Night,6.6,42,136,sport
40. Lubber Pandhu,8.1,6500,146,sport
41. Blue Lock: Episode Nagi,6.6,2700,91,sport
42. Lal Salaam,4.5,1500,150,sport
43. Boxer,6.4,1400,150,sport
44. Baki Hanma VS Kengan Ashura,5.7,2000,62,sport
45. Sunshine,7.0,76,91,sport
46. Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154,sport
47. Vijay 69,6.1,1200,112,sport
48. Bionic,4.3,1800,110,sport
49. Hayatla Baris,6.3,408,125,sport
50. Balestra,5.1,545,145,sport
51. Blue Star,6.9,1600,166,sport
52. Wingless,7.3,215,110,sport
53. Diving Into the Darkness,8.8,95,96,sport
54. Free Falling,5.2,305,89,sport
55. My Sunshine,7.0,1500,100,sport
56. Untold: The Murder of Air McNair,5.6,2200,57,sport
57. The Champion,5.5,921,106,sport
58. Fuchsia Libre,4.9,60,112,sport
59. Samia,6.8,159,102,sport
60. Havnaa,7.1,290,110,sport
61. Nasty,7.7,1100,103,sport
62. Undisputed,6.7,108,64,sport
63. Pegasus 2,6.9,1300,121,sport
64. Kulej. Dwie strony medalu,6.4,348,148,sport
65. 4 Zéros,3.6,154,105,sport
67. Return to the Ring,5.3,754,106,sport
68. It's All Over: The Kiss That Changed Spanish Football,7.0,661,95,sport
69. Ski,7.5,83,95,sport
71. Nayab,7.4,272,153,sport
72. Pierce,6.4,149,109,sport
73. GG (Good Game),6.0,82,100,sport
74. Minor Leaguer,5.1,94,77,sport
75. Heart of the Man,5.8,12,85,sport
76. Alpha.,6.9,276,100,sport
77. EFC,7.6,1200,87,sport
78. Memes & Nightmares,5.7,92,81,sport
80. Gold,7.7,78,126,sport
81. The Miranda Brothers,4.4,192,99,sport
82. Final Heat,3.8,214,83,sport
85. The Netflix Slam,7.2,147,150,sport
86. Lyod 3,6.0,316,134,sport
87. Tracing the Divide,8.8,173,84,sport
88. Ice Cross: Life on the Edge,8.5,16,90,sport
90. Friendly Fire,6.0,70,105,sport
91. Numéro 10,5.3,51,91,sport
93. Challenger,5.7,184,95,sport
94. Game Changers,4.7,232,78,sport
95. Nos Amours: The Saga of the Montreal Expos,5.8,26,92,sport
97. Harimau Malaya: The Untold Journey,8.2,23,125,sport
100. Dabaru,8.9,653,131,sport
101. A Horse Named Winx,8.7,102,117,sport
103. UFC 302: Makhachev vs. Poirier,6.6,96,180,sport
104. Daley,7.8,183,102,sport
105. Giroud,6.4,28,80,sport
106. Knock Out Blonde: The Kellie Maloney Story,6.0,23,90,sport
107. Champions of the Golden Valley,9.2,78,81,sport
109. Rafa Márquez: El Capitán,6.6,200,82,sport
110. A Game of Two Halves,7.1,25,100,sport
111. Unbreakable: England 2003,8.1,38,66,sport
112. Puffing Iron,7.6,20,98,sport
113. In Inima Nationalei,7.8,201,103,sport
114. Anytime,8.9,25,62,sport
115. UFC 299: O'Malley vs. Vera 2,7.3,84,180,sport
116. Linford,7.3,151,89,sport
117. Golpe a Golpe (Blow by Blow),8.1,23,90,sport
118. Keluar Main 1994,7.8,56,112,sport
120. Episodes: Ukraine at the World Cup (2024),8.1,74,79,sport
121. V de Victor,5.2,77,100,sport
122. Faster: Only one lap,6.9,24,90,sport
125. Battle of the Baddest,6.1,95,61,sport
126. Fedya. Narodnyy futbolist,6.0,133,125,sport
127. Bartali's Bicycle,7.5,10,80,sport
128. Home Plate,4.7,7,85,sport
130. Gabru Gang,8.7,215,123,sport
131. The Spoils: Selling the Future of American Basketball,6.8,7,87,sport
133. All American,9.6,18,87,sport
134. Padu,5.1,82,97,sport
135. The First Women,8.1,7,78,sport
138. Graciano Rocchigiani - Das Herz eines Boxers,9.2,52,123,sport
"140. Hai, Romania!",8.1,425,98,sport
142. See Her Be Her,7.1,27,110,sport
144. The Unbreakable Tatiana Suarez,6.6,171,78,sport
145. V potoke trekh stikhiy,5.2,42,85,sport
147. Together: 4-in-a-Row,6.5,71,92,sport
150. Ice Aged,7.0,8,110,sport
151. Welcome Back,7.4,6,119,sport
152. Eclipse,9.4,84,79,sport
